input_text,target_text,style
Even if you were as handsome as I beg your highness' pardon .,I crave your highness' pardon .,shakespeare
Is he really married ?,He is married ?,shakespeare
Please don't be offended that I don't want to offend you any more .,Take no offense that I would not offend you .,shakespeare
It's not fair to punish me for something you make me do .,To punish me for what you make me do Seems much unequal .,shakespeare
He's married to Octavia .,He's married to Octavia .,shakespeare
It's too bad that Antony's fault should make you look like a jerk .,"Oh , that his fault should make a knave of thee , That art not what th' art sure of !",shakespeare
Go away .,Get thee hence .,shakespeare
The merchandise you bring from Rome is too expensive for me .,The merchandise which thou hast brought from Rome Are all too dear for me .,shakespeare
Let it stay in your inventory until it bankrupts you .,Lie they upon thy hand And be undone by 'em !,shakespeare
"Be patient , your highness .","Good your highness , patience .",shakespeare
"When I have praised Antony , I've disparaged Caesar .","In praising Antony , I have dispraised Caesar .",shakespeare
"Many times , madam .","Many times , madam .",shakespeare
I'm being repaid for that now .,I am paid for 't now .,shakespeare
Help me out of here .,Lead me from hence .,shakespeare
"Oh , Iras , Charmian !","O Iras , Charmian !",shakespeare
It doesn't matter .,"Tis no matter. , Go to the fellow , good Alexas .",shakespeare
How old is she ?,"Bid him Report the feature of Octavia : her years , Her inclination .",shakespeare
Don't let him leave out the color of her hair .,Let him not leave out The color of her hair .,shakespeare
Bring me his answers quickly .,Bring me word how tall she is .,shakespeare
Even though half of him is like a,Lead me to my chamber .,shakespeare
"Lord Alexas , sweet Alexas , most anything Alexas , almost the most consummate Alexas , where's the fortuneteller you recommended so highly to the Queen ?","Lord Alexas , sweet Alexas , most anything Alexas , almost most absolute Alexas , where's the soothsayer that you praised so to th' Queen ?",shakespeare
"Oh , I only wish I knew the name of that husband you said he predicted will have a cheating wife !","Oh that I knew this husband , which , you say , must charge his horns with garlands !",shakespeare
I don't make fortunes ; I only see them .,"I make not , but foresee .",shakespeare
Then see a good one for me .,"Pray , then , foresee me one .",shakespeare
"No , he means you'll use makeup when you're old .","No , you shall paint when you are old .",shakespeare
May my wrinkles forbid that !,Wrinkles forbid !,shakespeare
Don't joke about his predictions .,Vex not his prescience .,shakespeare
Pay attention .,Be attentive .,shakespeare
Quiet !,Hush !,shakespeare
You will love more than you are loved .,You shall be more beloving than beloved .,shakespeare
"It's proper that we speak first , which is why we sent our proposals ahead of us for your consideration .","Most meet That first we come to words , and therefore have we Our written purposes before us sent , Which , if thou hast considered , let us know If 'twill tie up thy discontented sword And carry back to Sicily much tall youth That else must perish here .",shakespeare
Why did Cassius conspire against Caesar ?,What was 't That moved pale Cassius to conspire ?,shakespeare
Take your time .,Take your time .,shakespeare
"Pompey , you can not frighten us with your navy .","Thou canst not fear us , Pompey , with thy sails .",shakespeare
We'll meet you at sea .,We'll speak with thee at sea .,shakespeare
"Yes , on land you do outnumber me .","At land , thou know'st How much we do o'ercount thee .",shakespeare
Even more since you annexed my father's house and lands .,"At land indeed Thou dost o'ercount me of my father's house , But since the cuckoo builds not for himself , Remain in 't as thou mayst .",shakespeare
"But since , To get back to the matter at hand , what do you think of our proposal ?","Be pleased to tell us , For this is from the present , how you take The offers we have sent you .",shakespeare
That's the point .,There's the point .,shakespeare
"Don't let us talk you into anything , but consider carefully the value of our offers .","Which do not be entreated to , but weigh What it is worth embraced .",shakespeare
You have offered me the lands of Sicily and Sardinia .,"You have made me offer Of Sicily , Sardinia .",shakespeare
"In return , I must clear the sea of pirates and send tributes of wheat to Rome .","And I must Rid all the sea of pirates , then , to send Measures of wheat to Rome .",shakespeare
"If I agree to this , we may leave unharmed , with our shields undented .",This 'greed upon To part with unhacked edges and bear back Our targes undinted .,shakespeare
That's our offer .,That's our offer .,shakespeare
You should know that when I came here I was prepared to accept your offer .,"Know then I came before you here a man prepared To take this offer , but Mark Antony Put me to some impatience .",shakespeare
Let me shake your hand .,Let me have your hand .,shakespeare
I didn't think I would see you here .,"I did not think , sir , to have met you here .",shakespeare
The East is very seductive .,"The beds i' th' East are soft , and thanks to you , That called me timelier than my purpose hither , For I have gained by 't .",shakespeare
"Well , I can not tell how my difficult life has weathered my face , but I will never let those difficulties subdue my courage .","Well , I know not What counts harsh Fortune casts upon my face , But in my bosom shall she never come To make my heart her vassal .",shakespeare
It's good we had this meeting .,Well met here .,shakespeare
"I hope it works out for the best , Lepidus .","I hope so , Lepidus .",shakespeare
So we are in agreement .,Thus we are agreed .,shakespeare
That's the next thing on the agenda .,That's the next to do .,shakespeare
We'll have celebration feasts for each other before we go our separate ways .,"We'll feast each other ere we part , and let's Draw lots who shall begin .",shakespeare
"I'll give the first one , Pompey .","That will I , Pompey .",shakespeare
"No , Antony .","No , Antony , take the lot .",shakespeare
"Whether your banquet is first or last , your Egyptian cooking will make it the best .","But , first or last , Your fine Egyptian cookery shall have The fame .",shakespeare
I heard that Julius Caesar got fat from all the feasting there .,I have heard that Julius Caesar Grew fat with feasting there .,shakespeare
You've heard a lot .,You have heard much .,shakespeare
"I mean well , sir .","I have fair meanings , sir .",shakespeare
I'm sure you do .,And fair words to them .,shakespeare
I've heard a lot more .,Then so much have I heard .,shakespeare
"I heard that Apollodorus carried , What did he carry , please ?","And I have heard Apollodorus carried , What , I pray you ?",shakespeare
"How are you , soldier ?","How far'st thou , soldier ?",shakespeare
"I'm well , and probably will be for a while , as I hear that four feasts are being prepared .","Well , And well am like to do , for I perceive , Four feasts are toward .",shakespeare
Let me shake your hand .,Let me shake thy hand .,shakespeare
I've never been your enemy .,I never hated thee .,shakespeare
I've seen you fight and envied your skill .,I have seen thee fight When I have envied thy behavior .,shakespeare
"Sir , I wouldn't say I was your friend , but I've praised you when you deserved ten times more praise than I gave .","Sir , I never loved you much , but I ha' praised ye When you have well deserved ten times as much As I have said you did .",shakespeare
Enjoy your frankness ; it suits you .,Enjoy thy plainness .,shakespeare
I invite you all aboard my ship .,"It nothing ill becomes thee. , Aboard my galley I invite you all .",shakespeare
"After you , my lords ?","Will you lead , lords ?",shakespeare
"Show us the way , sir .","Show 's the way , sir .",shakespeare
Come with me .,Come .,shakespeare
I think it was at sea .,"At sea , I think .",shakespeare
"That it was , sir .","We have , sir .",shakespeare
You've done well at sea .,You have done well by water .,shakespeare
And you've done well on land .,And you by land .,shakespeare
"I'll flatter anyone who flatters me , though what I've accomplished on land can not be denied .","I will praise any man that will praise me , though it can not be denied what I have done by land .",shakespeare
Neither can my accomplishments at sea .,Nor what I have done by water .,shakespeare
"Yes , for your own safety , you should deny one thing : you have been a great thief at sea .","Yes , something you can deny for your own safety : you have been a great thief by sea .",shakespeare
As you were on land .,And you by land .,shakespeare
That's the one part of my service on land I do deny .,There I deny my land service .,shakespeare
"But let's shake hands , Menas .","But give me your hand , Menas .",shakespeare
"If our eyes were policemen , they might capture two thieves at once while we're embracing .","If our eyes had authority , here they might take two thieves kissing .",shakespeare
"Men's faces are truthful , whatever their hands do .","All men's faces are true , whatsome'er their hands are .",shakespeare
But no beautiful woman has an honest face .,But there is never a fair woman has a true face .,shakespeare
That's no lie .,No slander .,shakespeare
They steal hearts .,They steal hearts .,shakespeare
We came here to fight against you .,We came hither to fight with you .,shakespeare
"For my part , I'm sorry this battle turned into a drinking match .","For my part , I am sorry it is turned to a drinking .",shakespeare
Today Pompey laughs away his fortune .,Pompey doth this day laugh away his fortune .,shakespeare
"If that's true , he won't get it back by crying .","If he do , sure he can not weep 't back again .",shakespeare
"That's the truth , sir .","You've said , sir .",shakespeare
We didn't expect Mark Antony to be here .,We looked not for Mark Antony here .,shakespeare
Is he married to Cleopatra ?,"Pray you , is he married to Cleopatra ?",shakespeare
Caesar's sister is named Octavia .,Caesar's sister is called Octavia .,shakespeare
"That's true , sir .","True , sir .",shakespeare
She was previously Caius Marcellus' wife .,She was the wife of Caius Marcellus .,shakespeare
But she is now Mark Antony's wife .,But she is now the wife of Marcus Antonius .,shakespeare
"Excuse me , sir ?","Pray ye , sir ?",shakespeare
It's true .,Tis true .,shakespeare
Then Caesar and he will always be united .,Then is Caesar and he forever knit together .,shakespeare
"If I were to make a prediction regarding this union , I wouldn't say that .","If I were bound to divine of this unity , I would not prophesy so .",shakespeare
I think the marriage was made more for political reasons than for love .,I think the policy of that purpose made more in the marriage than the love of the parties .,shakespeare
I think so too .,I think so too .,shakespeare
But you'll see that the very thing that joins them will be the thing that separates them .,But you shall find the band that seems to tie their friendship together will be the very strangler of their amity .,shakespeare
"Octavia has a pious , chaste , meek disposition .","Octavia is of a holy , cold , and still conversation .",shakespeare
Doesn't everyone want a wife like that ?,Who would not have his wife so ?,shakespeare
"Not someone who doesn't share that disposition , meaning Mark Antony .","Not he that himself is not so , which is Mark Antony .",shakespeare
He'll go back to his Egyptian dish .,He will to his Egyptian dish again .,shakespeare
"Then Octavia's complaints will rouse Caesar , and as I said before , the thing that brought them together will part them .","Then shall the sighs of Octavia blow the fire up in Caesar , and , as I said before , that which is the strength of their amity shall prove the immediate author of their variance .",shakespeare
Antony will go where his passion is .,Antony will use his affection where it is .,shakespeare
He only married out of political necessity .,He married but his occasion here .,shakespeare
Then that's the way it may turn out .,And thus it may be .,shakespeare
"Come on , sir , will you come aboard ?","Come , sir , will you aboard ?",shakespeare
I want to drink your health .,I have a health for you .,shakespeare
"I'll join you , sir .","I shall take it , sir .",shakespeare
We did a lot of drinking in Egypt .,We have used our throats in Egypt .,shakespeare
Let's go .,"Come , let's away .",shakespeare
"Here's where they'll end up , on the floor .","Here they'll be , man .",shakespeare
Some of them are leaning already .,Some o' their plants are ill-rooted already .,shakespeare
Lepidus is red in the face .,Lepidus is high-colored .,shakespeare
They made him drink the leftover wine usually given to the poor .,They have made him drink alms-drink .,shakespeare
I'd rather carry a reed that obviously can't protect me than a sword I can not lift .,I had as lief have a reed that will do me no service as a partisan I could not heave .,shakespeare
"This is how they do it , sir : they measure the depth of the Nile , according to certain marks made on the walls of the Pyramid .","Thus do they , sir : they take the flow o' th' Nile By certain scales i' th' Pyramid .",shakespeare
They know by those measurements if there will be famine or plenty .,"They know By th' height , the lowness , or the mean , if dearth Or foison follow .",shakespeare
"The higher the Nile flows , the better the harvest .",The higher Nilus swells The more it promises .,shakespeare
The harvest comes shortly after that .,"As it ebbs , the seedsman Upon the slime and ooze scatters his grain , And shortly comes to harvest .",shakespeare
Do you have unusual snakes there ?,You've strange serpents there ?,shakespeare
"Yes , Lepidus .","Ay , Lepidus .",shakespeare
"The Egyptian snake is born when the sun shines on the Nile mud , just like the crocodile .",Your serpent of Egypt is bred now of your mud by the operation of your sun .,shakespeare
"I don't feel so well , but I won't stop .","I am not so well as I should be , but I'll ne'er out .",shakespeare
Not until you pass out .,Not till you have slept .,shakespeare
I'm afraid you'll keep going until then .,I fear me you'll be in till then .,shakespeare
I've heard that the pyramids build by the Ptolemies are splendid .,"Nay , certainly , I have heard the Ptolemies' pyramises are very goodly things .",shakespeare
Without doubt I've heard that .,Without contradiction I have heard that .,shakespeare
What does a crocodile look like ?,What manner o' thing is your crocodile ?,shakespeare
"Sir , it's shaped like itself and is as wide as it has width .","It is shaped , sir , like itself , and it is as broad as it hath breadth .",shakespeare
It is only as high as it is and moves with its own legs .,"It is just so high as it is , and moves with its own organs .",shakespeare
Its own color .,Of it own color too .,shakespeare
It's a strange snake .,Tis a strange serpent .,shakespeare
It is that .,Tis so .,shakespeare
And its tears are wet .,And the tears of it are wet .,shakespeare
What is it ?,The matter ?,shakespeare
I've always had great respect for your destiny .,I have ever held my cap off to thy fortunes .,shakespeare
You've served me faithfully .,Thou hast served me with much faith .,shakespeare
What else can I say ?,"What's else to say ? , These quicksands , Lepidus , Keep off them , for you sink .",shakespeare
What are you saying ?,What sayst thou ?,shakespeare
Would you like to be king of the entire world ?,Wilt thou be lord of the whole world ?,shakespeare
Now I've said it twice .,That's twice .,shakespeare
How could that happen ?,How should that be ?,shakespeare
Just listen to him .,"Nay , hear him .",shakespeare
Be kind now and tell me some excellent fortune .,"Good now , some excellent fortune !",shakespeare
Tell me that I'll marry three kings before noon and be widowed by all of them .,Let me be married to three kings in a forenoon and widow them all .,shakespeare
"Oh , excellent !","Oh , excellent !",shakespeare
Then my children will probably be illegitimate .,Then belike my children shall have no names .,shakespeare
"Tell me , please : how many boys and girls will I have ?","Prithee , how many boys and wenches must I have ?",shakespeare
"If every time you wished for a child you could have had one , you would have a million children .","If every of your wishes had a womb , And fertile every wish , a million .",shakespeare
You seem to think no one outside of your bedroom knows what you wish .,You think none but your sheets are privy to your wishes .,shakespeare
We'll all want our fortune told .,We'll know all our fortunes .,shakespeare
"My fortune , like that of many of us tonight , is to go drunk to bed .","Mine , and most of our fortunes tonight , shall be , drunk to bed .",shakespeare
Are you drunk ?,Hast thou drunk well ?,shakespeare
"No , Pompey , I haven't had anything to drink .","No , Pompey , I have kept me from the cup .",shakespeare
Tell me how .,Show me which way .,shakespeare
The three who share the known world are aboard your boat .,"These three world-sharers , these competitors , Are in thy vessel .",shakespeare
Everything that belongs to them is yours .,All there is thine .,shakespeare
"Oh , you should have done it without telling me !","Ah , this thou shouldst have done And not have spoke on 't !",shakespeare
For you to do it would be good service .,"In me 'tis villainy , In thee 't had been good service .",shakespeare
"You should know that to me , profit isn't more important than honor , but the other way around .","Thou must know , 'Tis not my profit that does lead mine honor ; Mine honor , it .",shakespeare
Regret that your mouth betrayed your actions .,Repent that e'er thy tongue Hath so betrayed thine act .,shakespeare
But now I must condemn it .,"Being done unknown , I should have found it afterwards well done , But must condemn it now .",shakespeare
Give it up and go drink .,"Desist , and drink .",shakespeare
This toast is for Lepidus !,This health to Lepidus !,shakespeare
"Here's to you , Menas .","Here's to thee , Menas !",shakespeare
"I accept with thanks , Enobarbus .","Enobarbus , welcome .",shakespeare
"There goes a strong fellow , Menas .","There's a strong fellow , Menas .",shakespeare
Why do you say that ?,Why ?,shakespeare
He carries a third of the world .,"He bears The third part of the world , man .",shakespeare
Can't you see that ?,Seest not ?,shakespeare
Then a third of the world is drunk .,"The third part , then , is drunk .",shakespeare
Drink up .,Drink thou .,shakespeare
"All right , then .",Come .,shakespeare
This hasn't reached the level of an Egyptian feast yet .,This is not yet an Alexandrian feast .,shakespeare
It's getting there .,It ripens towards it .,shakespeare
Clink your cups together in a toast !,"Strike the vessels , ho !",shakespeare
Here's to Caesar .,Here's to Caesar .,shakespeare
I could do without another toast .,I could well forbear 't .,shakespeare
Live in the moment .,Be a child o' th' time .,shakespeare
But I would rather abstain from everything for four days than drink so much in one .,But I had rather fast from all four days Than drink so much in one .,shakespeare
"Let's have one , good soldier .","Let's ha 't , good soldier .",shakespeare
"Come , let's join our hands until the overpowering wine makes us soft and forgetful .","Come , let's all take hands Till that the conquering wine hath steeped our sense In soft and delicate Lethe .",shakespeare
Everyone join hands .,All take hands .,shakespeare
How can you top that ?,What needs more words ?,shakespeare
"Good night , Pompey .",Good night .,shakespeare
"Yes , we will .","And shall , sir .",shakespeare
Let's shake on it .,Give 's your hand .,shakespeare
We're friends !,We are friends .,shakespeare
"Come , this way to the rowboat .","Come , down into the boat .",shakespeare
Be careful not to fall in .,Take heed you fall not .,shakespeare
"Menas , I'm not going back on shore .","Menas , I'll not on shore .",shakespeare
"No , come to my cabin .","No , to my cabin .",shakespeare
What do you say ?,What !,shakespeare
There's my hat !,There's my cap .,shakespeare
Hooray !,Hoo !,shakespeare
"Come on , noble captain .","Noble captain , come .",shakespeare
"Now I've paid you back , Parthia , and gotten revenge for Marcus Crassus' death .","Now , darting Parthia , art thou struck , and now Pleased fortune does of Marcus Crassus' death Make me revenger .",shakespeare
"You must understand , Silius , that it's better to leave something undone than achieve too much fame in your superior's absence .","For learn this , Silius : Better to leave undone than by our deed Acquire too high a fame when him we serve's away .",shakespeare
Caesar and Antony have always achieved more by delegating authority to their officers than by leading their troops in person .,Caesar and Antony have ever won More in their officer than person .,shakespeare
A man who achieves more in war than his captain does becomes his captain's rival .,"Who does i' th' wars more than his captain can Becomes his captain's captain ; and ambition , The soldier's virtue , rather makes choice of loss Than gain which darkens him .",shakespeare
"I could do more to help Antony , but to do so would insult him .","I could do more to do Antonius good , But 'twould offend him , and in his offense Should my performance perish .",shakespeare
"A soldier is just a tool , like his sword , unless he has your qualities , Ventidius .","Thou hast , Ventidius , that Without the which a soldier and his sword Grants scarce distinction .",shakespeare
Are you going to write Antony about this ?,Thou wilt write to Antony ?,shakespeare
"I'll write how , under his flag and with his well-paid troops , we have beaten the formerly unvanquished Parthia .","I'll humbly signify what in his name , That magical word of war , we have effected : How with his banners and his well-paid ranks The ne'er-yet-beaten horse of Parthia We have jaded out o' th' field .",shakespeare
Where's Antony now ?,Where is he now ?,shakespeare
Did the brothers-in-law leave ?,"What , are the brothers parted ?",shakespeare
"They finished their business with Pompey , and Pompey has left .",They have dispatched with Pompey ; he is gone .,shakespeare
Octavia weeps at the thought of leaving Rome .,Octavia weeps To part from Rome .,shakespeare
Caesar is in a sober mood .,"Caesar is sad , and Lepidus , Since Pompey's feast , as Menas says , is troubled With the greensickness .",shakespeare
He's a stylish man .,A very fine one .,shakespeare
And how he loves Caesar !,"Oh , how he loves Caesar !",shakespeare
"Yes , but how he adores Mark Antony !","Nay , but how dearly he adores Mark Antony !",shakespeare
Caesar ?,Caesar ?,shakespeare
Then what's Antony ?,What's Antony ?,shakespeare
A god of a god ?,The god of Jupiter .,shakespeare
Are you talking about Caesar ?,Spake you of Caesar ?,shakespeare
He's without equal !,"How , the nonpareil !",shakespeare
"Oh , Antony !","O Antony , O thou Arabian bird !",shakespeare
"Oh , you If you want to praise Caesar , just say his name , that's all the praise that's necessary .","Would you praise Caesar , say ""Caesar."" Go no further .",shakespeare
He certainly flattered them both with extravagant compliments .,"Indeed , he plied them both with excellent praises .",shakespeare
"He loves Caesar best , but he also loves Antony .",But he loves Caesar best ; yet he loves Antony .,shakespeare
Oh !,Hoo !,shakespeare
"Hearts can not think it , tongues can not speak it , meas-urements can not calculate it , scribes can not write it , bards can not sing it , and poets can not make verses about it .","Hearts , tongues , figures , scribes , bards , poets , can not Think , speak , cast , write , sing , number , hoo ! , His love to Antony .",shakespeare
He loves them both .,Both he loves .,shakespeare
"They are his dung , and he their beetle .","They are his shards , and he",shakespeare
"So , there's the signal to ride .","So , This is to horse .",shakespeare
"Good-bye , noble Agrippa .","Adieu , noble Agrippa .",shakespeare
"Good luck , worthy soldier , and good-bye .","Good fortune , worthy soldier , and farewell .",shakespeare
"You can't go any further with us , sir .","No further , sir .",shakespeare
"If you and I don't value her equally , it would be better for us to work out our differences without her .","For better might we Have loved without this mean , if on both parts This be not cherished .",shakespeare
Don't insult me with your distrust .,Make me not offended In your distrust .,shakespeare
I mean what I say .,I have said .,shakespeare
"You won't find any cause for anxiety , even if you look for one .","You shall not find , Though you be therein curious , the least cause For what you seem to fear .",shakespeare
"So , may the gods protect you and change the hearts of the Romans so that they turn and give you their support .",So the gods keep you And make the hearts of Romans serve your ends .,shakespeare
We'll leave you here .,We will here part .,shakespeare
"Good-bye , my dearest sister , good-bye .","Farewell , my dearest sister , fare thee well .",shakespeare
I hope you have good weather to set your mind at ease .,The elements be kind to thee and make Thy spirits all of comfort !,shakespeare
Farewell .,Fare thee well .,shakespeare
My noble brother !,My noble brother !,shakespeare
Her eyes are like April : full of showers .,"The April's in her eyes ; it is love's spring , And these the showers to bring it on .",shakespeare
"What is it , Octavia ?","What , Octavia ?",shakespeare
I'll tell you privately .,I'll tell you in your ear .,shakespeare
"See , now I have you .","Look , here I have you .",shakespeare
And thus I let you go and give you to the gods .,Thus I let you go And give you to the gods .,shakespeare
Good-bye .,Adieu .,shakespeare
Be happy .,Be happy .,shakespeare
"Farewell , farewell .","Farewell , farewell .",shakespeare
Farewell .,Farewell .,shakespeare
"Like the Oh stop it , you lusty bed-hopper .",E'en as the o'erflowing Nilus presageth famine .,shakespeare
You can't see the future .,"Go , you wild bedfellow , you can not soothsay .",shakespeare
"Well , if a moist palm isn't a clear sign of promiscuity , then I can't scratch my own ear .","Nay , if an oily palm be not a fruitful prognostication , I can not scratch mine ear. , Prithee , tell her but a workaday fortune .",shakespeare
Your fortunes are the same .,Your fortunes are alike .,shakespeare
But how ?,"But how , but how ?",shakespeare
Give me details .,Give me particulars .,shakespeare
I've said what I have to say .,I have said .,shakespeare
Isn't my fortune just a little better than hers ?,Am I not an inch of fortune better than she ?,shakespeare
"Well , if you could have just an inch of better fortune than me , where would you like the improvement ?","Well , if you were but an inch of fortune better than I , where would you choose it ?",shakespeare
Not in my husband's nose .,Not in my husband's nose .,shakespeare
May heaven save us from indecent thoughts !,Our worser thoughts heavens mend .,shakespeare
Alexas !,Alexas !,shakespeare
"If it's sad to see a handsome man with a cheating wife , it's a tragedy to see an ugly thug with a wife who's faithful .","For , as it is a heartbreaking to see a handsome man loose-wived , so it is a deadly sorrow to behold a foul knave uncuckolded .",shakespeare
"Therefore , dear Isis , do the right thing and give him the fortune he deserves .","Therefore , dear Isis , keep decorum , and fortune him accordingly .",shakespeare
Where is that messenger ?,Where is the fellow ?,shakespeare
He's afraid to come in .,Half afeard to come .,shakespeare
"Oh , come on. , Come here , sir .","Go to , go to. , Come hither , sir .",shakespeare
"Gracious Queen , even Herod of Judea wouldn't dare look at you unless you were in a good mood .","Good majesty , Herod of Jewry dare not look upon you But when you are well pleased .",shakespeare
I'll have Herod's head chopped off !,That Herod's head I'll have !,shakespeare
Most formidable Queen !,Most gracious majesty !,shakespeare
Did you see Octavia ?,Didst thou behold Octavia ?,shakespeare
"Yes , revered Queen .","Ay , dread Queen .",shakespeare
Where ?,Where ?,shakespeare
"In Rome , Madam .","Madam , in Rome .",shakespeare
I saw her face as she walked with her brother and Mark Antony .,"I looked her in the face , and saw her led Between her brother and Mark Antony .",shakespeare
Is she as tall as I am ?,Is she as tall as me ?,shakespeare
"She is not , madam .","She is not , madam .",shakespeare
Did you hear her speak ?,Didst hear her speak ?,shakespeare
Is her voice pitched high or low ?,Is she shrill-tongued or low ?,shakespeare
"Madam , I heard her speak .","Madam , I heard her speak .",shakespeare
She has a low-pitched voice .,She is low-voiced .,shakespeare
That's not in her favor .,That's not so good .,shakespeare
He can't like her very long .,He can not like her long .,shakespeare
Like her ?,Like her ?,shakespeare
"Oh , Isis , that's impossible .","O Isis , 'tis impossible .",shakespeare
"You're right , Charmian .","I think so , Charmian .",shakespeare
She creeps along .,She creeps .,shakespeare
"She has a body , not a life .","She shows a body rather than a life , A statue than a breather .",shakespeare
Is this true ?,Is this certain ?,shakespeare
"If not , then I have no powers of observation .",Or I have no observance .,shakespeare
There aren't three people in all of Egypt who could do better .,Three in Egypt Can not make better note .,shakespeare
She doesn't have anything going for her so far .,There's nothing in her yet .,shakespeare
This messenger is wise .,The fellow has good judgment .,shakespeare
Very wise .,Excellent .,shakespeare
"Do you hear that , Charmian ?","Charmian , hark .",shakespeare
And I think she's at least thirty .,And I do think she's thirty .,shakespeare
Do you remember her face ?,Bear'st thou her face in mind ?,shakespeare
Was it long or round ?,Is 't long or round ?,shakespeare
Round enough to be unattractive .,"Round , even to faultiness .",shakespeare
Usually that means a person is foolish .,"For the most part , too , they are foolish that are so .",shakespeare
What color is her hair ?,"Her hair , what color ?",shakespeare
"Brown , madam , and she wouldn't want her forehead to be any lower .","Brown , madam , and her forehead As low as she would wish it .",shakespeare
You mustn't hold my earlier outburst against me .,Thou must not take my former sharpness ill .,shakespeare
I'll hire you again to go back to Rome .,I will employ thee back again ; I find thee Most fit for business .,shakespeare
My letters are ready to go .,Go make thee ready ; Our letters are prepared .,shakespeare
He's an admirable man .,A proper man .,shakespeare
He certainly is .,"Indeed , he is so .",shakespeare
I'm very sorry I was so hard on him .,I repent me much That so I harried him .,shakespeare
"Not a bit , madam .","Nothing , madam .",shakespeare
Everything may still be all right .,All may be well enough .,shakespeare
"I assure you it is , madam .","I warrant you , madam .",shakespeare
